subject,rt,list,button_pressed,trial_type,trial_index,responses,image,verb,phrase,condition,ppt_language,ppt_gender,ppt_race,test_part,gif,picture_condition,left_name,right_name,left_race,right_race,left_gender,right_gender,left_figure_mentioned,right_figure_mentioned,both_figures_mentioned,first_figure,first_figure_gender,first_figure_race,syntax_correct,excluded_trial_mention,excluded_trial_syntax,excluded_trial,man_first,asian_first,trial_number
11298,9532,listb,NA,survey-text,57,luke is approaching ruth.,<img src='gifs/ChineseGender3a.gif' style='height:400px;''></img>,approaching,is approaching,english,english,woman,asian,NA,ChineseGender3a,gender_asian,dave,ruth,asian,asian,male,female,FALSE,TRUE,FALSE,cannot auto compute,cannot auto compute,cannot auto compute,TRUE,excluded,included,excluded,NA,NA,2
11298,20472,listb,NA,survey-text,61,dave is praising mike.,<img src='gifs/MaleRace3a.gif' style='height:400px;''></img>,praising,is praising,english,english,woman,asian,NA,MaleRace3a,race_male,dave,fred,asian,black,male,male,TRUE,FALSE,FALSE,cannot auto compute,cannot auto compute,cannot auto compute,TRUE,excluded,included,excluded,NA,NA,3
11298,6137,listb,NA,survey-text,77,luke mike,<img src='gifs/MaleRace4a.gif' style='height:400px;''></img>,promising,is promising,english,english,woman,asian,NA,MaleRace4a,race_male,dave,mike,asian,black,male,male,FALSE,TRUE,FALSE,cannot auto compute,cannot auto compute,cannot auto compute,FALSE,excluded,excluded,excluded,NA,NA,7
11298,11786,listb,NA,survey-text,85,kate is looking at fred.,<img src='gifs/MaleRace1a.gif' style='height:400px;''></img>,looking at,is looking at,english,english,woman,asian,NA,MaleRace1a,race_male,luke,fred,asian,black,male,male,FALSE,TRUE,FALSE,cannot auto compute,cannot auto compute,cannot auto compute,TRUE,excluded,included,excluded,NA,NA,9
11298,6994,listb,NA,survey-text,109,fred is joining dave.,<img src='gifs/MaleRace1a.gif' style='height:400px;''></img>,join,is joining,english,english,woman,asian,NA,MaleRace1a,race_male,luke,fred,asian,black,male,male,FALSE,TRUE,FALSE,cannot auto compute,cannot auto compute,cannot auto compute,TRUE,excluded,included,excluded,NA,NA,15
11298,9691,listb,NA,survey-text,207,ruth is walking towards beth.,<img src='gifs/FemaleRace4b.gif' style='height:400px;''></img>,walking towards,is walking towards,english,english,woman,asian,NA,FemaleRace4b,race_female,ruth,kate,asian,black,female,female,TRUE,FALSE,FALSE,cannot auto compute,cannot auto compute,cannot auto compute,TRUE,excluded,included,excluded,NA,NA,30
11298,11676,listb,NA,survey-text,215,luke is listening to fred.,<img src='gifs/MaleRace2b.gif' style='height:400px;''></img>,listening to,is listening to,english,english,woman,asian,NA,MaleRace2b,race_male,mike,luke,black,asian,male,male,FALSE,TRUE,FALSE,cannot auto compute,cannot auto compute,cannot auto compute,TRUE,excluded,included,excluded,NA,NA,32
13413,58483.30000001192,lista,NA,survey-text,45,露丝正在倾听戴维,<img src='gifs/BlackGender2a.gif' style='height:400px;''></img>,提到,正在提到,chinese,chinese,man,asian,NA,BlackGender2a,gender_black,露丝,戴夫,black,black,female,male,TRUE,FALSE,FALSE,cannot auto compute,cannot auto compute,cannot auto compute,FALSE,excluded,excluded,excluded,NA,NA,58
13413,14044.099999964237,lista,NA,survey-text,65,霍普正在陪伴贝斯,<img src='gifs/FemaleRace3a.gif' style='height:400px;''></img>,陪伴,正在陪伴,chinese,chinese,man,asian,NA,FemaleRace3a,race_female,露丝,贝斯,black,asian,female,female,FALSE,TRUE,FALSE,cannot auto compute,cannot auto compute,cannot auto compute,TRUE,excluded,included,excluded,NA,NA,63
13413,17150.099999964237,lista,NA,survey-text,81,霍普正在加入凯特,<img src='gifs/FemaleRace1a.gif' style='height:400px;''></img>,加入,正在加入,chinese,chinese,man,asian,NA,FemaleRace1a,race_female,露丝,凯特,black,asian,female,female,FALSE,TRUE,FALSE,cannot auto compute,cannot auto compute,cannot auto compute,TRUE,excluded,included,excluded,NA,NA,67
13413,20199.099999964237,lista,NA,survey-text,123,戴夫正在接近露丝,<img src='gifs/BlackGender4b.gif' style='height:400px;''></img>,接近,正在接近,chinese,chinese,man,asian,NA,BlackGender4b,gender_black,戴夫,霍普,black,black,male,female,TRUE,FALSE,FALSE,cannot auto compute,cannot auto compute,cannot auto compute,TRUE,excluded,included,excluded,NA,NA,73
13413,11020.5,lista,NA,survey-text,155,露丝正在接近贝斯,<img src='gifs/FemaleRace3b.gif' style='height:400px;''></img>,聆听,正在聆听,chinese,chinese,man,asian,NA,FemaleRace3b,race_female,贝斯,露丝,asian,black,female,female,TRUE,TRUE,TRUE,right_name,female,black,FALSE,included,excluded,excluded,0,0,81
13413,34415.5,lista,NA,survey-text,171,卢克正在面向露丝,<img src='gifs/BlackGender3b.gif' style='height:400px;''></img>,面向,正在面向,chinese,chinese,man,asian,NA,BlackGender3b,gender_black,卢克,霍普,black,black,male,female,TRUE,FALSE,FALSE,cannot auto compute,cannot auto compute,cannot auto compute,TRUE,excluded,included,excluded,NA,NA,85
13413,14385.600000023842,lista,NA,survey-text,261,麦克正在表扬凯特,<img src='gifs/ChineseGender4b.gif' style='height:400px;''></img>,答应,正在答应,chinese,chinese,man,asian,NA,ChineseGender4b,gender_asian,凯特,麦克,asian,asian,female,male,TRUE,TRUE,TRUE,right_name,male,asian,FALSE,included,excluded,excluded,1,1,13
15487,31807.3999999985,listb,NA,survey-text,41,贝斯正在xx麦克。,<img src='gifs/BlackGender2a.gif' style='height:400px;''></img>,接近,正在接近,chinese,chinese,man,asian,NA,BlackGender2a,gender_black,贝斯,麦克,black,black,female,male,TRUE,TRUE,TRUE,left_name,female,black,FALSE,included,excluded,excluded,0,0,75
