subject,rt,list,button_pressed,trial_type,trial_index,responses,image,verb,phrase,condition,ppt_language,ppt_gender,ppt_race,test_part,gif,picture_condition,left_name,right_name,left_race,right_race,left_gender,right_gender,left_figure_mentioned,right_figure_mentioned,both_figures_mentioned,first_figure,first_figure_gender,first_figure_race,syntax_correct,excluded_trial_mention,excluded_trial_syntax,excluded_trial,man_first,asian_first,trial_number,rt.mean,rt.sd,rt.se,ppt_gender_code,LikeMeGender,OverallLikeMe
489,16313,lista,NA,survey-text,33,戴夫正在联系霍普,<img src='gifs/BlackGender4b.gif' style='height:400px;''></img>,联系,正在联系,chinese,chinese,man,asian,NA,BlackGender4b,gender_black,戴夫,霍普,black,black,male,female,TRUE,TRUE,TRUE,left_name,male,black,TRUE,included,included,included,1,0,73,12864.191489361703,11930.07769871249,1740.180682091919,male,1,1
489,44800.00000000006,lista,NA,survey-text,41,弗雷正在加入贝斯的对话,<img src='gifs/ChineseGender2b.gif' style='height:400px;''></img>,加入,正在加入,chinese,chinese,man,asian,NA,ChineseGender2b,gender_asian,贝斯,弗雷,asian,asian,female,male,TRUE,TRUE,TRUE,right_name,male,asian,TRUE,included,included,included,1,1,75,12864.191489361703,11930.07769871249,1740.180682091919,male,1,1
489,15923,lista,NA,survey-text,53,霍普正在接近凯特,<img src='gifs/FemaleRace2b.gif' style='height:400px;''></img>,接近,正在接近,chinese,chinese,man,asian,NA,FemaleRace2b,race_female,凯特,霍普,asian,black,female,female,TRUE,TRUE,TRUE,right_name,female,black,TRUE,included,included,included,0,0,78,12864.191489361703,11930.07769871249,1740.180682091919,male,0,0
489,16854,lista,NA,survey-text,61,弗雷正在答应贝斯的请求,<img src='gifs/ChineseGender2a.gif' style='height:400px;''></img>,答应,正在答应,chinese,chinese,man,asian,NA,ChineseGender2a,gender_asian,弗雷,贝斯,asian,asian,male,female,TRUE,TRUE,TRUE,left_name,male,asian,TRUE,included,included,included,1,1,80,12864.191489361703,11930.07769871249,1740.180682091919,male,1,1
489,8786,lista,NA,survey-text,65,露丝正在表扬凯特,<img src='gifs/FemaleRace1a.gif' style='height:400px;''></img>,表扬,正在表扬,chinese,chinese,man,asian,NA,FemaleRace1a,race_female,露丝,凯特,black,asian,female,female,TRUE,TRUE,TRUE,left_name,female,black,TRUE,included,included,included,0,0,81,12864.191489361703,11930.07769871249,1740.180682091919,male,0,0
489,13802,lista,NA,survey-text,69,弗雷正在跟随贝斯,<img src='gifs/ChineseGender2b.gif' style='height:400px;''></img>,跟随,正在跟随,chinese,chinese,man,asian,NA,ChineseGender2b,gender_asian,贝斯,弗雷,asian,asian,female,male,TRUE,TRUE,TRUE,right_name,male,asian,TRUE,included,included,included,1,1,82,12864.191489361703,11930.07769871249,1740.180682091919,male,1,1
489,15995.999999999884,lista,NA,survey-text,77,露丝正在加入凯特的谈话,<img src='gifs/FemaleRace1b.gif' style='height:400px;''></img>,加入,正在加入,chinese,chinese,man,asian,NA,FemaleRace1b,race_female,凯特,露丝,asian,black,female,female,TRUE,TRUE,TRUE,right_name,female,black,TRUE,included,included,included,0,0,84,12864.191489361703,11930.07769871249,1740.180682091919,male,0,0
489,17063,lista,NA,survey-text,85,贝斯正在联系麦克,<img src='gifs/ChineseGender3a.gif' style='height:400px;''></img>,联系,正在联系,chinese,chinese,man,asian,NA,ChineseGender3a,gender_asian,麦克,贝斯,asian,asian,male,female,TRUE,TRUE,TRUE,right_name,female,asian,TRUE,included,included,included,0,1,86,12864.191489361703,11930.07769871249,1740.180682091919,male,0,0
489,21384,lista,NA,survey-text,89,贝斯正在面向霍普,<img src='gifs/FemaleRace4a.gif' style='height:400px;''></img>,面向,正在面向,chinese,chinese,man,asian,NA,FemaleRace4a,race_female,霍普,贝斯,black,asian,female,female,TRUE,TRUE,TRUE,right_name,female,asian,TRUE,included,included,included,0,1,87,12864.191489361703,11930.07769871249,1740.180682091919,male,0,1
489,10659,lista,NA,survey-text,93,弗雷正在说服卢克,<img src='gifs/MaleRace1b.gif' style='height:400px;''></img>,说服,正在说服,chinese,chinese,man,asian,NA,MaleRace1b,race_male,卢克,弗雷,black,asian,male,male,TRUE,TRUE,TRUE,right_name,male,asian,TRUE,included,included,included,1,1,88,12864.191489361703,11930.07769871249,1740.180682091919,male,1,1
489,9392.000000000116,lista,NA,survey-text,97,霍普正在触摸卢克,<img src='gifs/BlackGender3a.gif' style='height:400px;''></img>,触摸,正在触摸,chinese,chinese,man,asian,NA,BlackGender3a,gender_black,霍普,卢克,black,black,female,male,TRUE,TRUE,TRUE,left_name,female,black,TRUE,included,included,included,0,0,89,12864.191489361703,11930.07769871249,1740.180682091919,male,0,0
489,20279.999999999767,lista,NA,survey-text,123,贝斯正在提到霍普,<img src='gifs/FemaleRace4a.gif' style='height:400px;''></img>,提到,正在提到,chinese,chinese,man,asian,NA,FemaleRace4a,race_female,霍普,贝斯,black,asian,female,female,TRUE,TRUE,TRUE,right_name,female,asian,TRUE,included,included,included,0,1,1,12864.191489361703,11930.07769871249,1740.180682091919,male,0,1
489,14334,lista,NA,survey-text,127,戴夫正在答应麦克,<img src='gifs/MaleRace4a.gif' style='height:400px;''></img>,答应,正在答应,chinese,chinese,man,asian,NA,MaleRace4a,race_male,麦克,戴夫,asian,black,male,male,TRUE,TRUE,TRUE,right_name,male,black,TRUE,included,included,included,1,0,2,12864.191489361703,11930.07769871249,1740.180682091919,male,1,0
489,23152.999999999767,lista,NA,survey-text,131,霍普正在面向卢克,<img src='gifs/BlackGender3a.gif' style='height:400px;''></img>,面向,正在面向,chinese,chinese,man,asian,NA,BlackGender3a,gender_black,霍普,卢克,black,black,female,male,TRUE,TRUE,TRUE,left_name,female,black,TRUE,included,included,included,0,0,3,12864.191489361703,11930.07769871249,1740.180682091919,male,0,0
489,13229,lista,NA,survey-text,139,露丝正在陪伴贝斯,<img src='gifs/FemaleRace3b.gif' style='height:400px;''></img>,陪伴,正在陪伴,chinese,chinese,man,asian,NA,FemaleRace3b,race_female,贝斯,露丝,asian,black,female,female,TRUE,TRUE,TRUE,right_name,female,black,TRUE,included,included,included,0,0,5,12864.191489361703,11930.07769871249,1740.180682091919,male,0,0
489,5706,lista,NA,survey-text,143,卢克正在跟随麦克,<img src='gifs/MaleRace3b.gif' style='height:400px;''></img>,跟随,正在跟随,chinese,chinese,man,asian,NA,MaleRace3b,race_male,卢克,麦克,black,asian,male,male,TRUE,TRUE,TRUE,left_name,male,black,TRUE,included,included,included,1,0,6,12864.191489361703,11930.07769871249,1740.180682091919,male,1,0
489,15280,lista,NA,survey-text,147,弗雷正在说服凯特,<img src='gifs/ChineseGender1a.gif' style='height:400px;''></img>,说服,正在说服,chinese,chinese,man,asian,NA,ChineseGender1a,gender_asian,弗雷,凯特,asian,asian,male,female,TRUE,TRUE,TRUE,left_name,male,asian,TRUE,included,included,included,1,1,7,12864.191489361703,11930.07769871249,1740.180682091919,male,1,1
489,6946,lista,NA,survey-text,151,贝斯正在介绍霍普,<img src='gifs/FemaleRace4b.gif' style='height:400px;''></img>,介绍,正在介绍,chinese,chinese,man,asian,NA,FemaleRace4b,race_female,贝斯,霍普,asian,black,female,female,TRUE,TRUE,TRUE,left_name,female,asian,TRUE,included,included,included,0,1,8,12864.191489361703,11930.07769871249,1740.180682091919,male,0,1
489,5512.000000000233,lista,NA,survey-text,155,弗雷正在看着凯特,<img src='gifs/ChineseGender1b.gif' style='height:400px;''></img>,看着,正在看着,chinese,chinese,man,asian,NA,ChineseGender1b,gender_asian,凯特,弗雷,asian,asian,female,male,TRUE,TRUE,TRUE,right_name,male,asian,TRUE,included,included,included,1,1,9,12864.191489361703,11930.07769871249,1740.180682091919,male,1,1
489,13868,lista,NA,survey-text,159,露丝正在走向凯特,<img src='gifs/FemaleRace1a.gif' style='height:400px;''></img>,走向,正在走向,chinese,chinese,man,asian,NA,FemaleRace1a,race_female,露丝,凯特,black,asian,female,female,TRUE,TRUE,TRUE,left_name,female,black,TRUE,included,included,included,0,0,10,12864.191489361703,11930.07769871249,1740.180682091919,male,0,0
489,9071,lista,NA,survey-text,163,戴夫正在聆听霍普,<img src='gifs/BlackGender4a.gif' style='height:400px;''></img>,聆听,正在聆听,chinese,chinese,man,asian,NA,BlackGender4a,gender_black,霍普,戴夫,black,black,female,male,TRUE,TRUE,TRUE,right_name,male,black,TRUE,included,included,included,1,0,11,12864.191489361703,11930.07769871249,1740.180682091919,male,1,1
489,9626,lista,NA,survey-text,167,露丝正在面向贝斯,<img src='gifs/FemaleRace3a.gif' style='height:400px;''></img>,面向,正在面向,chinese,chinese,man,asian,NA,FemaleRace3a,race_female,露丝,贝斯,black,asian,female,female,TRUE,TRUE,TRUE,left_name,female,black,TRUE,included,included,included,0,0,12,12864.191489361703,11930.07769871249,1740.180682091919,male,0,0
489,4570.999999999767,lista,NA,survey-text,171,弗雷正在触摸卢克,<img src='gifs/MaleRace1b.gif' style='height:400px;''></img>,触摸,正在触摸,chinese,chinese,man,asian,NA,MaleRace1b,race_male,卢克,弗雷,black,asian,male,male,TRUE,TRUE,TRUE,right_name,male,asian,TRUE,included,included,included,1,1,13,12864.191489361703,11930.07769871249,1740.180682091919,male,1,1
489,12529.999999999767,lista,NA,survey-text,175,凯特正在陪伴麦克,<img src='gifs/ChineseGender4a.gif' style='height:400px;''></img>,陪伴,正在陪伴,chinese,chinese,man,asian,NA,ChineseGender4a,gender_asian,麦克,凯特,asian,asian,male,female,TRUE,TRUE,TRUE,right_name,female,asian,TRUE,included,included,included,0,1,14,12864.191489361703,11930.07769871249,1740.180682091919,male,0,0
489,19686.000000000233,lista,NA,survey-text,179,凯特正在加入霍普,<img src='gifs/FemaleRace2a.gif' style='height:400px;''></img>,加入,正在加入,chinese,chinese,man,asian,NA,FemaleRace2a,race_female,霍普,凯特,black,asian,female,female,TRUE,TRUE,TRUE,right_name,female,asian,TRUE,included,included,included,0,1,15,12864.191489361703,11930.07769871249,1740.180682091919,male,0,1
489,4873,lista,NA,survey-text,183,卢克正在触摸麦克,<img src='gifs/MaleRace3b.gif' style='height:400px;''></img>,触摸,正在触摸,chinese,chinese,man,asian,NA,MaleRace3b,race_male,卢克,麦克,black,asian,male,male,TRUE,TRUE,TRUE,left_name,male,black,TRUE,included,included,included,1,0,16,12864.191489361703,11930.07769871249,1740.180682091919,male,1,0
489,7130,lista,NA,survey-text,187,露丝正在接近卢克,<img src='gifs/BlackGender1b.gif' style='height:400px;''></img>,接近,正在接近,chinese,chinese,man,asian,NA,BlackGender1b,gender_black,卢克,露丝,black,black,male,female,TRUE,TRUE,TRUE,right_name,female,black,TRUE,included,included,included,0,0,17,12864.191489361703,11930.07769871249,1740.180682091919,male,0,0
489,5957,lista,NA,survey-text,191,戴夫正在触摸露丝,<img src='gifs/BlackGender2b.gif' style='height:400px;''></img>,触摸,正在触摸,chinese,chinese,man,asian,NA,BlackGender2b,gender_black,戴夫,露丝,black,black,male,female,TRUE,TRUE,TRUE,left_name,male,black,TRUE,included,included,included,1,0,18,12864.191489361703,11930.07769871249,1740.180682091919,male,1,1
489,5249.000000000233,lista,NA,survey-text,213,戴夫正在看着露丝,<img src='gifs/BlackGender2a.gif' style='height:400px;''></img>,看着,正在看着,chinese,chinese,man,asian,NA,BlackGender2a,gender_black,露丝,戴夫,black,black,female,male,TRUE,TRUE,TRUE,right_name,male,black,TRUE,included,included,included,1,0,19,12864.191489361703,11930.07769871249,1740.180682091919,male,1,1
489,6458,lista,NA,survey-text,217,弗雷正在提到戴夫,<img src='gifs/MaleRace2a.gif' style='height:400px;''></img>,提到,正在提到,chinese,chinese,man,asian,NA,MaleRace2a,race_male,弗雷,戴夫,asian,black,male,male,TRUE,TRUE,TRUE,left_name,male,asian,TRUE,included,included,included,1,1,20,12864.191489361703,11930.07769871249,1740.180682091919,male,1,1
489,6238,lista,NA,survey-text,221,霍普正在看着卢克,<img src='gifs/BlackGender3b.gif' style='height:400px;''></img>,看着,正在看着,chinese,chinese,man,asian,NA,BlackGender3b,gender_black,卢克,霍普,black,black,male,female,TRUE,TRUE,TRUE,right_name,female,black,TRUE,included,included,included,0,0,21,12864.191489361703,11930.07769871249,1740.180682091919,male,0,0
489,6187,lista,NA,survey-text,225,戴夫正在走向麦克,<img src='gifs/MaleRace4b.gif' style='height:400px;''></img>,走向,正在走向,chinese,chinese,man,asian,NA,MaleRace4b,race_male,戴夫,麦克,black,asian,male,male,TRUE,TRUE,TRUE,left_name,male,black,TRUE,included,included,included,1,0,22,12864.191489361703,11930.07769871249,1740.180682091919,male,1,0
489,6828,lista,NA,survey-text,229,贝斯正在走向霍普,<img src='gifs/FemaleRace4b.gif' style='height:400px;''></img>,走向,正在走向,chinese,chinese,man,asian,NA,FemaleRace4b,race_female,贝斯,霍普,asian,black,female,female,TRUE,TRUE,TRUE,left_name,female,asian,TRUE,included,included,included,0,1,23,12864.191489361703,11930.07769871249,1740.180682091919,male,0,1
489,5738,lista,NA,survey-text,233,戴夫正在陪伴霍普,<img src='gifs/BlackGender4b.gif' style='height:400px;''></img>,陪伴,正在陪伴,chinese,chinese,man,asian,NA,BlackGender4b,gender_black,戴夫,霍普,black,black,male,female,TRUE,TRUE,TRUE,left_name,male,black,TRUE,included,included,included,1,0,24,12864.191489361703,11930.07769871249,1740.180682091919,male,1,1
489,6470,lista,NA,survey-text,237,凯特正在介绍麦克,<img src='gifs/ChineseGender4a.gif' style='height:400px;''></img>,介绍,正在介绍,chinese,chinese,man,asian,NA,ChineseGender4a,gender_asian,麦克,凯特,asian,asian,male,female,TRUE,TRUE,TRUE,right_name,female,asian,TRUE,included,included,included,0,1,25,12864.191489361703,11930.07769871249,1740.180682091919,male,0,0
